TS_UPDATE;USER;bake_id;processing_variable;variable_phase;variable_order;variable_value
2023-01-03 11:02:26;;70;BAKE_temperature_upper;7;1;240
2023-01-03 11:02:26;;71;BAKE_level;7;3;1
2023-01-03 11:02:26;;71;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:26;;71;BAKE_temperature_upper;7;1;240
2022-11-22 16:11:14;;72;TBD;1;1;
2022-11-22 16:11:21;;73;TBD;1;1;
2023-01-03 11:02:29;;74;BAKE_level;7;3;1
2023-01-03 11:02:29;;74;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:29;;74;BAKE_temperature_upper;7;1;240
2023-01-03 11:02:29;;75;BAKE_level;7;3;2
2023-01-03 11:02:29;;75;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:29;;75;BAKE_temperature_upper;7;1;240
2023-01-03 11:02:29;;76;BAKE_level;7;3;1
2023-01-03 11:02:29;;76;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:29;;76;BAKE_temperature_upper;7;1;240
2023-01-03 11:02:29;;77;BAKE_level;7;3;1
2023-01-03 11:02:29;;77;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:29;;77;BAKE_temperature_upper;7;1;240
2023-01-03 11:02:29;;78;BAKE_level;7;3;2
2023-01-03 11:02:29;;78;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:29;;78;BAKE_temperature_upper;7;1;240
2023-01-03 11:02:29;;79;BAKE_level;7;3;2
2023-01-03 11:02:29;;79;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:29;;79;BAKE_temperature_upper;7;1;240
2023-01-03 11:02:26;;8;BAKE_level;7;3;2
2023-01-03 11:02:26;;8;BAKE_temperature_lower;7;2;202
2023-01-03 11:02:26;;8;BAKE_temperature_upper;7;1;183
2023-01-03 11:02:24;;80;BAKE_level;7;3;1
2023-01-03 11:02:24;;80;BAKE_temperature_lower;7;2;202
2023-01-03 11:02:24;;80;BAKE_temperature_upper;7;1;210
2023-01-03 11:02:24;;81;BAKE_level;7;3;2
2023-01-03 11:02:24;;81;BAKE_temperature_lower;7;2;202
2023-01-03 11:02:24;;81;BAKE_temperature_upper;7;1;210
2023-01-03 11:02:24;;82;BAKE_level;7;3;1
2023-01-03 11:02:24;;82;BAKE_temperature_lower;7;2;202
2023-01-03 11:02:24;;82;BAKE_temperature_upper;7;1;210
2023-01-03 11:02:29;;83;BAKE_level;7;3;2
2023-01-03 11:02:29;;83;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:29;;83;BAKE_temperature_upper;7;1;186
2023-01-03 11:02:29;;84;BAKE_level;7;3;2
2023-01-03 11:02:29;;84;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:29;;84;BAKE_temperature_upper;7;1;186
2023-01-03 11:02:29;;85;BAKE_level;7;3;2
2023-01-03 11:02:29;;85;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:29;;85;BAKE_temperature_upper;7;1;186
2023-01-03 11:02:29;;86;BAKE_level;7;3;2
2023-01-03 11:02:29;;86;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:29;;86;BAKE_temperature_upper;7;1;186
2023-01-03 11:02:29;;87;BAKE_level;7;3;1
2023-01-03 11:02:29;;87;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:29;;87;BAKE_temperature_upper;7;1;186
2023-01-03 11:02:29;;88;BAKE_level;7;3;2
2023-01-03 11:02:29;;88;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:29;;88;BAKE_temperature_upper;7;1;186
2023-01-03 11:02:26;;89;BAKE_level;7;3;1
2023-01-03 11:02:26;;89;BAKE_temperature_lower;7;2;180
2023-01-03 11:02:26;;89;BAKE_temperature_upper;7;1;222
2023-01-03 11:02:26;;9;BAKE_level;7;3;1
2023-01-03 11:02:26;;9;BAKE_temperature_lower;7;2;202
2023-01-03 11:02:26;;9;BAKE_temperature_upper;7;1;183
2023-01-03 11:02:26;;90;BAKE_level;7;3;2
2023-01-03 11:02:26;;90;BAKE_temperature_lower;7;2;180
2023-01-03 11:02:26;;90;BAKE_temperature_upper;7;1;222
2023-01-03 11:02:26;;91;BAKE_level;7;3;1
2023-01-03 11:02:26;;91;BAKE_temperature_lower;7;2;180
2023-01-03 11:02:26;;91;BAKE_temperature_upper;7;1;222
2023-01-03 11:02:26;;92;BAKE_level;7;3;1
2023-01-03 11:02:26;;92;BAKE_temperature_lower;7;2;180
2023-01-03 11:02:26;;92;BAKE_temperature_upper;7;1;222
2023-01-03 11:02:26;;93;BAKE_level;7;3;1
2023-01-03 11:02:26;;93;BAKE_temperature_lower;7;2;180
2023-01-03 11:02:26;;93;BAKE_temperature_upper;7;1;222
2023-01-03 11:02:26;;94;BAKE_level;7;3;2
2023-01-03 11:02:26;;94;BAKE_temperature_lower;7;2;180
2023-01-03 11:02:27;;94;BAKE_temperature_upper;7;1;222
2023-01-03 11:02:24;;95;BAKE_level;7;3;1
2023-01-03 11:02:24;;95;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:24;;95;BAKE_temperature_upper;7;1;205
