TS_UPDATE;USER;dough_id;form_id;make_id;production_dstart;knead_tstart;knead_tstop;bulk_tstart;bulk_dstop;bulk_tstop;final_tstart;final_dstop;final_tstop;baker;storage_id
2022-11-30 17:27:28;;DO48;34;82;2022-04-14 00:00:00;09:41:00;09:55:00;09:58:00;2022-04-14 00:00:00;10:58:00;11:22:00;2022-04-14 00:00:00;16:37:00;SAT;
2022-11-30 17:27:28;;DO49;35;83;2022-04-14 00:00:00;10:03:00;10:10:00;10:13:00;2022-04-14 00:00:00;13:15:00;13:37:00;2022-04-14 00:00:00;16:52:00;SAT;
2022-11-30 17:27:28;;DO50;36;84;2022-04-27 00:00:00;10:30:00;10:37:00;10:40:00;2022-04-27 00:00:00;10:55:00;11:19:00;2022-04-28 00:00:00;11:19:00;SAT;
2022-11-30 17:27:28;;DO51;37;85;2022-04-27 00:00:00;11:45:00;11:53:00;11:56:00;2022-04-27 00:00:00;14:56:00;15:17:00;2022-04-28 00:00:00;12:32:00;SAT;
2022-11-30 17:27:28;;DO52;38;86;2022-04-27 00:00:00;13:15:00;13:31:00;13:34:00;2022-04-28 00:00:00;13:34:00;13:57:00;2022-04-28 00:00:00;14:12:00;SAT;
2022-11-30 17:27:28;;DO53;39;87;2022-04-28 00:00:00;09:07:00;09:16:00;09:19:00;2022-04-28 00:00:00;15:19:00;15:41:00;2022-04-28 00:00:00;15:56:00;SAT;
2022-11-30 17:27:28;;DO54;40;88;2022-04-28 00:00:00;09:30:00;09:39:00;09:42:00;2022-04-28 00:00:00;15:43:00;16:05:00;2022-04-28 00:00:00;16:20:00;SAT;
2022-11-30 17:27:28;;DO55;41;89;2022-04-28 00:00:00;09:46:00;10:02:00;10:05:00;2022-04-28 00:00:00;11:05:00;11:27:00;2022-04-28 00:00:00;16:42:00;SAT;
2022-11-30 17:27:28;;DO56;42;90;2022-05-04 00:00:00;14:00:00;14:14:00;14:17:00;2022-05-04 00:00:00;15:17:00;15:38:00;2022-05-05 00:00:00;09:55:00;SAT;
2022-11-30 17:27:28;;DO57;43;91;2022-05-04 00:00:00;14:30:00;14:40:00;14:43:00;2022-05-04 00:00:00;15:45:00;16:07:00;2022-05-05 00:00:00;10:25:00;SAT;
2022-11-30 17:27:28;;DO58;44;92;2022-05-04 00:00:00;14:59:00;15:12:00;15:15:00;2022-05-04 00:00:00;15:30:00;15:57:00;2022-05-05 00:00:00;10:55:00;SAT;
2022-11-30 17:27:28;;DO59;45;93;2022-05-05 00:00:00;11:30:00;11:41:00;11:44:00;2022-05-05 00:00:00;12:44:00;13:06:00;2022-05-06 00:00:00;13:28:00;SAT;
2022-11-30 17:27:28;;DO60;46;94;2022-05-05 00:00:00;14:17:00;14:34:00;14:37:00;2022-05-06 00:00:00;08:37:00;09:02:00;2022-05-06 00:00:00;15:17:00;SAT;
2022-11-30 17:27:28;;DO61;47;95;2022-05-05 00:00:00;14:45:00;15:00:00;15:03:00;2022-05-06 00:00:00;09:03:00;09:32:00;2022-05-06 00:00:00;15:47:00;SAT;
2022-05-10 13:45:45;;DO62;48;96;2022-05-11 00:00:00;09:30:00;;;;;;;;;
2022-05-10 13:45:51;;DO63;49;97;2022-05-11 00:00:00;11:30:00;;;;;;;;;
2022-05-10 13:45:57;;DO64;50;98;2022-05-11 00:00:00;12:15:00;;;;;;;;;
2022-11-30 17:27:28;;DO65;51;10;2022-05-12 00:00:00;11:45:00;11:52:00;11:55:00;2022-05-12 00:00:00;12:55:00;13:21:00;2022-05-13 00:00:00;09:21:00;SAT;
2022-11-30 17:27:28;;DO66;52;11;2022-05-12 00:00:00;13:30:00;13:45:00;13:48:00;2022-05-12 00:00:00;14:03:00;14:32:00;2022-05-13 00:00:00;11:17:00;SAT;
2022-11-30 17:27:28;;DO67;53;12;2022-05-12 00:00:00;14:15:00;14:30:00;14:33:00;2022-05-13 00:00:00;09:41:00;10:03:00;2022-05-13 00:00:00;13:03:00;SAT;
2022-11-30 17:27:28;;DO68;54;13;2022-05-13 00:00:00;08:22:00;08:37:00;08:40:00;2022-05-13 00:00:00;08:55:00;09:27:00;2022-05-13 00:00:00;10:29:00;SAT;
2022-11-30 17:27:28;;DO69;55;14;2022-05-13 00:00:00;09:05:00;09:16:00;09:19:00;2022-05-13 00:00:00;09:34:00;09:56:00;2022-05-13 00:00:00;10:56:00;SAT;
2022-11-30 17:27:28;;DO70;56;15;2022-05-13 00:00:00;11:41:00;11:52:00;11:55:00;2022-05-13 00:00:00;12:55:00;13:19:00;2022-05-13 00:00:00;13:34:00;SAT;
2022-11-30 17:27:28;;DO71;57;16;2022-05-18 00:00:00;09:49:00;10:01:00;10:04:00;2022-05-18 00:00:00;10:19:00;10:46:00;2022-05-18 00:00:00;11:46:00;SAT;
2022-11-30 17:27:28;;DO72;58;17;2022-05-18 00:00:00;10:51:00;11:00:00;11:03:00;2022-05-18 00:00:00;11:18:00;11:40:00;2022-05-18 00:00:00;12:40:00;SAT;
2022-11-30 17:27:28;;DO73;59;18;2022-05-18 00:00:00;12:15:00;12:26:00;12:29:00;2022-05-18 00:00:00;13:30:00;13:55:00;2022-05-18 00:00:00;14:10:00;SAT;
2022-11-30 17:27:28;;DO74;60;19;2022-05-19 00:00:00;06:28:00;06:43:00;06:46:00;2022-05-19 00:00:00;07:01:00;07:28:00;2022-05-20 00:00:00;13:13:00;SAT;
2022-11-30 17:27:28;;DO75;61;20;2022-05-19 00:00:00;08:56:00;09:05:00;09:08:00;2022-05-19 00:00:00;09:23:00;09:48:00;2022-05-20 00:00:00;15:33:00;SAT;
2022-11-30 17:27:28;;DO76;62;21;2022-05-19 00:00:00;12:11:00;12:18:00;12:21:00;2022-05-20 00:00:00;06:21:00;06:45:00;2022-05-20 00:00:00;18:44:00;SAT;
2022-05-20 15:14:35;;DO77;63;4;2022-05-25 00:00:00;08:30:00;;;;;;;;;
2022-05-20 15:14:35;;DO78;64;4;2022-05-25 00:00:00;09:20:00;;;;;;;;;
2022-05-20 15:14:35;;DO79;65;4;2022-05-25 00:00:00;10:10:00;;;;;;;;;
2022-05-20 15:14:35;;DO80;66;4;2022-05-25 00:00:00;11:00:00;;;;;;;;;
2022-11-30 17:27:28;;DO81;67;22;2022-06-01 00:00:00;09:05:00;09:13:00;09:16:00;2022-06-01 00:00:00;09:31:00;09:57:00;2022-06-02 00:00:00;15:42:00;SAT;
2022-11-30 17:27:28;;DO82;68;23;2022-06-01 00:00:00;09:35:00;09:48:00;09:51:00;2022-06-02 00:00:00;09:51:00;10:22:00;2022-06-02 00:00:00;16:22:00;SAT;
2022-11-30 17:27:28;;DO83;69;24;2022-06-01 00:00:00;10:05:00;10:20:00;10:23:00;2022-06-01 00:00:00;10:38:00;11:03:00;2022-06-02 00:00:00;16:48:00;SAT;
2022-11-30 17:27:28;;DO84;70;25;2022-06-02 00:00:00;10:00:00;10:10:00;10:13:00;2022-06-02 00:00:00;10:28:00;10:55:00;2022-06-03 00:00:00;10:40:00;SAT;
2022-11-30 17:27:28;;DO85;71;26;2022-06-02 00:00:00;10:45:00;10:52:00;10:55:00;2022-06-02 00:00:00;11:55:00;12:15:00;2022-06-03 00:00:00;11:15:00;SAT;
2022-11-30 17:27:28;;DO86;72;27;2022-06-02 00:00:00;14:15:00;14:28:00;14:31:00;2022-06-03 00:00:00;08:44:00;09:10:00;2022-06-03 00:00:00;15:10:00;SAT;
2022-11-30 17:27:29;;DO87;73;28;2022-06-15 00:00:00;09:01:00;09:15:00;09:18:00;2022-06-15 00:00:00;09:33:00;09:57:00;2022-06-16 00:00:00;10:58:00;SAT;
2022-11-30 17:27:29;;DO88;74;29;2022-06-15 00:00:00;10:45:00;11:01:00;11:04:00;2022-06-16 00:00:00;11:10:00;11:31:00;2022-06-16 00:00:00;12:31:00;SAT;
2022-11-30 17:27:29;;DO89;73;30;2022-06-15 00:00:00;13:15:00;13:22:00;13:25:00;2022-06-16 00:00:00;13:25:00;13:47:00;2022-06-16 00:00:00;14:47:00;SAT;
2022-11-30 17:27:29;;DO90;75;31;2022-06-16 00:00:00;09:00:00;09:05:00;09:08:00;2022-06-16 00:00:00;12:08:00;12:28:00;2022-06-16 00:00:00;15:43:00;SAT;
;;DO91;form_id;make_id;2022-06-16 00:00:00;09:20:00;;;2022-06-16 00:00:00;;;2022-06-16 00:00:00;;SAT;
2022-11-30 17:27:29;;DO92;77;33;2022-06-16 00:00:00;10:17:00;10:25:00;10:28:00;2022-06-16 00:00:00;10:43:00;11:07:00;2022-06-16 00:00:00;17:07:00;SAT;
2022-11-30 17:27:29;;DO93;78;34;2022-06-22 00:00:00;09:00:00;09:07:00;09:10:00;2022-06-22 00:00:00;09:25:00;09:52:00;2022-06-23 00:00:00;12:37:00;SAT;
2022-11-30 17:27:29;;DO94;79;35;2022-06-22 00:00:00;09:30:00;09:39:00;09:42:00;2022-06-22 00:00:00;09:57:00;10:26:00;2022-06-23 00:00:00;13:11:00;SAT;
2022-11-30 17:27:29;;DO95;80;36;2022-06-22 00:00:00;10:30:00;10:47:00;10:50:00;2022-06-22 00:00:00;13:50:00;14:18:00;2022-06-23 00:00:00;14:18:00;SAT;
2022-11-30 17:27:29;;DO96;81;37;2022-06-23 00:00:00;10:00:00;10:07:00;10:10:00;2022-06-23 00:00:00;16:10:00;16:34:00;2022-06-24 00:00:00;07:34:00;SAT;
2022-11-30 17:27:29;;DO97;82;38;2022-06-23 00:00:00;14:30:00;14:37:00;14:40:00;2022-06-24 00:00:00;08:40:00;09:05:00;2022-06-24 00:00:00;12:05:00;SAT;
2022-11-30 17:27:29;;DO98;83;39;2022-06-23 00:00:00;15:00:00;15:07:00;15:10:00;2022-06-24 00:00:00;09:10:00;09:39:00;2022-06-24 00:00:00;12:39:00;SAT;
2022-11-30 17:27:29;;DO99;84;40;2022-09-28 00:00:00;09:30:00;09:41:00;09:44:00;2022-09-28 00:00:00;09:59:00;10:22:00;2022-09-28 00:00:00;10:37:00;SAT;
