bake_id;processing_variable;variable_phase;variable_value;variable_order
18;BAKE_level;7;1;3
41;BAKE_temperature_upper;7;240;1
41;BAKE_temperature_lower;7;230;2
41;BAKE_level;7;1;3
42;BAKE_temperature_upper;7;240;1
42;BAKE_temperature_lower;7;230;2
42;BAKE_level;7;1;3
43;BAKE_temperature_upper;7;240;1
43;BAKE_temperature_lower;7;230;2
43;BAKE_level;7;1;3
45;BAKE_temperature_upper;7;240;1
45;BAKE_temperature_lower;7;230;2
45;BAKE_level;7;1;3
46;BAKE_temperature_upper;7;240;1
46;BAKE_temperature_lower;7;230;2
46;BAKE_level;7;1;3
47;BAKE_temperature_upper;7;240;1
47;BAKE_temperature_lower;7;230;2
47;BAKE_level;7;2;3
74;BAKE_temperature_upper;7;240;1
74;BAKE_temperature_lower;7;230;2
74;BAKE_level;7;1;3
75;BAKE_temperature_upper;7;240;1
75;BAKE_temperature_lower;7;230;2
75;BAKE_level;7;2;3
76;BAKE_temperature_upper;7;240;1
76;BAKE_temperature_lower;7;230;2
76;BAKE_level;7;1;3
77;BAKE_temperature_upper;7;240;1
77;BAKE_temperature_lower;7;230;2
77;BAKE_level;7;1;3
78;BAKE_temperature_upper;7;240;1
78;BAKE_temperature_lower;7;230;2
78;BAKE_level;7;2;3
79;BAKE_temperature_upper;7;240;1
79;BAKE_temperature_lower;7;230;2
79;BAKE_level;7;2;3
83;BAKE_temperature_upper;7;186;1
83;BAKE_temperature_lower;7;230;2
83;BAKE_level;7;2;3
84;BAKE_temperature_upper;7;186;1
84;BAKE_temperature_lower;7;230;2
84;BAKE_level;7;2;3
85;BAKE_temperature_upper;7;186;1
85;BAKE_temperature_lower;7;230;2
85;BAKE_level;7;2;3
86;BAKE_temperature_upper;7;186;1
86;BAKE_temperature_lower;7;230;2
86;BAKE_level;7;2;3
87;BAKE_temperature_upper;7;186;1
87;BAKE_temperature_lower;7;230;2
87;BAKE_level;7;1;3
88;BAKE_temperature_upper;7;186;1
88;BAKE_temperature_lower;7;230;2
88;BAKE_level;7;2;3
